Country,Description,Founded,Index,Industry,Name,Number of employees,Organization Id,Website
papua new guinea,horizontal empowering knowledgebase,1990.0,1.0,plastics,ferrell llc,3498.0,fab0d41d5b5d22c,https://price.net/
finland,user-centric system-worthy leverage,2015.0,2.0,glass / ceramics / concrete,"mckinney, riley and day",4952.0,6a7eddea9fadc52,http://www.hall-buchanan.info/
china,switchable scalable moratorium,1971.0,3.0,public safety,hester ltd,5287.0,0bfed1adae4bcc1,http://sullivan-reed.com/
turkmenistan,de-engineered systemic artificial intelligence,2004.0,4.0,automotive,holder-sellers,921.0,2bfc1be8a4ce42f,https://becker.com/
mauritius,synchronized needs-based challenge,1991.0,5.0,transportation,mayer group,7870.0,9ee8a6a4eb96c24,http://www.brewer.com/
bahamas,face-to-face well-modulated customer loyalty,1992.0,6.0,primary / secondary education,henry-thompson,4914.0,cc757116fe1c085,http://morse.net/
pakistan,seamless disintermediate collaboration,2018.0,7.0,publishing industry,hansen-everett,7832.0,219233e8aff1bc3,https://www.kidd.org/
heard island and mcdonald islands,centralized attitude-oriented capability,1970.0,8.0,import / export,mcintosh-mora,4389.0,ccc93dcf81a31cd,https://www.brooks.com/
kuwait,distributed impactful customer loyalty,1996.0,9.0,plastics,carr inc,8167.0,0b4f93aa06ed03e,http://ross.com/
uzbekistan,multi-lateral scalable protocol,1997.0,10.0,outsourcing / offshoring,gaines inc,9698.0,738b5ade6b1c6a5,http://sandoval-hooper.com/
bouvet island (bouvetoya),proactive foreground paradigm,2001.0,11.0,primary / secondary education,kidd group,7473.0,ae61b8ffebbc476,http://www.lyons.com/
denmark,front-line clear-thinking encryption,2014.0,12.0,food / beverages,crane-clarke,9011.0,eb3b7d06ccdd609,https://www.sandoval.com/
liberia,ameliorated directional emulation,2020.0,13.0,museums / institutions,"keller, campos and black",2862.0,8d0c29189c9798b,https://www.garner.info/
united arab emirates,persevering contextually-based approach,2013.0,14.0,medical practice,glover-pope,9079.0,d2c91cc03ca394c,http://www.silva.biz/
sweden,secured logistical synergy,1984.0,15.0,maritime,pacheco-spears,769.0,c8ac1eaf9c036f4,https://aguilar.com/
honduras,future-proofed radical implementation,1990.0,16.0,facilities services,hodge-ayers,8508.0,b5d10a14f7a8afe,http://www.archer-elliott.com/
uganda,de-engineered transitional strategy,1972.0,17.0,primary / secondary education,"bowers, guerra and krause",6986.0,68139b5c4de03b4,http://www.carrillo-nicholson.com/
hong kong,reverse-engineered heuristic alliance,1998.0,18.0,investment management / hedge fund / private equity,mckenzie-melton,4589.0,5c2effefdba2bdf,http://montoya-thompson.com/
botswana,adaptive intangible frame,1999.0,19.0,architecture / planning,branch-mann,7961.0,ba179f19f7925f5,http://www.lozano.com/
korea,sharable optimal functionalities,2011.0,20.0,plastics,weiss and sons,5984.0,c1ce9b350bac66b,https://barrett.com/
luxembourg,mandatory coherent synergy,1986.0,21.0,wholesale,"velez, payne and coffey",5010.0,8de40ac4e6eaca4,http://burton.com/
guadeloupe,reverse-engineered mission-critical moratorium,2018.0,22.0,construction,harrell llc,2185.0,aad86a4f0385f2d,http://www.frey-rosario.com/
monaco,self-enabling multi-tasking process improvement,2014.0,23.0,luxury goods / jewelry,"eaton, reynolds and vargas",8987.0,22ac3ffd64fd703,http://www.freeman.biz/
belgium,organic non-volatile hierarchy,1991.0,24.0,pharmaceuticals,robbins-cummings,5038.0,5ec4c272bcf085c,http://donaldson-wilkins.com/
south africa,front-line systematic help-desk,2002.0,25.0,insurance,jenkins inc,1215.0,5fdbea8bb91a000,http://www.kirk.biz/
romania,centralized leadingedge moratorium,2012.0,26.0,museums / institutions,"greene, benjamin and novak",4941.0,dffd6a6f9ac2d9c,http://www.kent.net/
czech republic,team-oriented tangible complexity,1980.0,27.0,real estate / mortgage,"dickson, richmond and clay",3122.0,4b217cc5a0674c5,http://everett.com/
christmas island,virtual holistic methodology,1970.0,28.0,banking / mortgage,prince-david,1046.0,88b1f1cdcf59a37,http://thompson.com/
philippines,open-source zero administration hierarchy,2021.0,29.0,legal services,ayala llc,7664.0,f9f7bbcaeec360f,http://www.zhang.com/
australia,open-architected well-modulated capacity,1998.0,30.0,logistics / procurement,rivas group,4155.0,7cb3aefce4ba31e,https://hebert.org/
chad,face-to-face high-level conglomeration,1997.0,31.0,civil engineering,"sloan, mays and whitehead",365.0,ccbcc32adcbc530,http://lawson.com/
zimbabwe,synergistic web-enabled framework,1993.0,32.0,mechanical or industrial engineering,"durham, allen and barnes",6135.0,f5afd686b3d05f5,http://chan-stafford.org/
nepal,automated 4thgeneration website,1972.0,33.0,hospitality,fritz-franklin,4516.0,38c6cfc5074fa5e,http://www.lambert.com/
taiwan,user-centric 4thgeneration system engine,1981.0,34.0,venture capital / vc,burch-ewing,7443.0,5cd7efccccba38f,http://cline.net/
kyrgyz republic,multi-channeled 3rdgeneration open system,2020.0,35.0,utilities,"glass, barrera and turner",2610.0,9e6acb51e3f9d6f,https://dunlap.com/
